Example SDR from PUMA power supply temperature sensor
 
HEX VAL		BYTE	FIELD
 07		1	rec ID L
 00		2	rec IH H
 51		3	SDR version
 01		4	SDR record type
 34		5	remaining bytes
 82		6	Sensor Owner ID
 00		7	Sensor OWner LUN
 06		8	Sensor Number
 0a		9	Entity ID
 61		10	Entity Instance
 03		11	Sensor Init
 56		12	Sensor Capabilities
 01		13	Sensor Type
 01		14	Event/Reading Type Code
 80		15	Assertion Event Mask/Lower Threshold Reading Mask L
 72		16	Assertion Event Mask/Lower Threshold Reading Mask H
 80		17	Deassertion Event Mask/Upper Threshold Reading Mask L
 32		18	Deassertion Event Mask/Upper Threshold Reading Mask H
 1f		19	Discrete Reading Mask/Settable Threshold Mask, Readable Threshold Mask L
 00		20	Discrete Reading Mask/Settable Threshold Mask, Readable Threshold Mask H
 00		21	Sensor Units 1
 01		22	Sensor Units 2 - Base Unit
 00		23	Sensor Units 3 - Modifier Unit
 00		24	Linearization
 01		25	M
 00		26	M, tolerance
 ce		27	B
 c0		28	B, accuracy
 00		29	Accuracy, Accuracy Exp, Sensor Direciton
 00		30	Rexp, Bexp
 07		31	Analog Characteristic Flags
 55		32	Nominal Readking
 78		33	Normal Maximum
 32		34	Normal Minimum
 ff		35	Sensor Maximum
 00		36	Sensor Minimum
 00		37	Upper Non-recoverable Threshold
 87		38	Upper Critical Threshold
 78		39	Upper Non-Critical Threshold
 0a		40	Lower Non-recoverable Threshold
 32		41	Lower Critical Threshold
 37		42	Lower Non-critical Threshold
 02		43	Positive-going Threshold Hysteresis Value
 02		44	Negative-Going Threshold Hysteresis value
 00		45	reserved
 00		46	reserved
 00		47	OEM
 c9		48	Sensor ID string Type/Length Code
 42		49	'B'
 6f		50	'o'
 61		51	'a'
 72		52	'r'
 64		53	'd'
 54		54	'T'
 65		55	'e'
 6d		56	'm'
 70		57	'p'
		
